DateTime,CO2
1/2/2024 19:35,560
1/2/2024 19:40,557
1/2/2024 19:45,555
1/2/2024 19:50,553
1/2/2024 19:55,556
1/2/2024 20:00,555
1/2/2024 20:05,553
1/2/2024 20:10,552
1/2/2024 20:15,548
1/2/2024 20:20,550
1/2/2024 20:25,555
1/2/2024 20:30,561
1/2/2024 20:35,562
1/2/2024 20:40,565
1/2/2024 20:45,562
1/2/2024 20:50,557
1/2/2024 20:55,562
1/2/2024 21:00,559
1/2/2024 21:05,557
1/2/2024 21:10,553
1/2/2024 21:15,552
1/2/2024 21:20,556
1/2/2024 21:25,552
1/2/2024 21:30,555
1/2/2024 21:35,557
1/2/2024 21:40,550
1/2/2024 21:45,558
1/2/2024 21:50,550
1/2/2024 21:55,548
1/2/2024 22:00,546
1/2/2024 22:05,547
1/2/2024 22:10,554
1/2/2024 22:15,560
1/2/2024 22:20,563
1/2/2024 22:25,562
1/2/2024 22:30,567
1/2/2024 22:35,568
1/2/2024 22:40,570
1/2/2024 22:45,572
1/2/2024 22:50,577
1/2/2024 22:55,576
1/2/2024 23:00,567
1/2/2024 23:05,582
1/2/2024 23:10,584
1/2/2024 23:15,568
1/2/2024 23:20,572
1/2/2024 23:25,576
1/2/2024 23:30,573
1/2/2024 23:35,567
1/2/2024 23:40,571
1/2/2024 23:45,573
1/2/2024 23:50,577
1/2/2024 23:55,572
1/3/2024 0:00,567
1/3/2024 0:05,577
1/3/2024 0:10,567
1/3/2024 0:15,564
1/3/2024 0:20,562
1/3/2024 0:25,561
1/3/2024 0:30,559
1/3/2024 0:35,557
1/3/2024 0:40,562
1/3/2024 0:45,567
1/3/2024 0:50,569
1/3/2024 0:55,573
1/3/2024 1:00,578
1/3/2024 1:05,577
1/3/2024 1:10,582
1/3/2024 1:15,587
1/3/2024 1:20,589
1/3/2024 1:25,591
1/3/2024 1:30,587
1/3/2024 1:35,591
1/3/2024 1:40,588
1/3/2024 1:45,585
1/3/2024 1:50,582
1/3/2024 1:55,578
1/3/2024 2:00,582
1/3/2024 2:05,577
1/3/2024 2:10,582
1/3/2024 2:15,587
1/3/2024 2:20,591
1/3/2024 2:25,587
1/3/2024 2:30,589
1/3/2024 2:35,588
1/3/2024 2:40,582
1/3/2024 2:45,585
1/3/2024 2:50,582
1/3/2024 2:55,580
1/3/2024 3:00,577
1/3/2024 3:05,575
1/3/2024 3:10,572
1/3/2024 3:15,569
1/3/2024 3:20,564
1/3/2024 3:25,560
1/3/2024 3:30,559
1/3/2024 3:35,554
1/3/2024 3:40,556
1/3/2024 3:45,558
1/3/2024 3:50,562
1/3/2024 3:55,565
1/3/2024 4:00,570
1/3/2024 4:05,571
1/3/2024 4:10,572
1/3/2024 4:15,575
1/3/2024 4:20,577
1/3/2024 4:25,572
1/3/2024 4:30,575
1/3/2024 4:35,578
1/3/2024 4:40,577
1/3/2024 4:45,579
1/3/2024 4:50,582
1/3/2024 4:55,583
1/3/2024 5:00,578
1/3/2024 5:05,582
1/3/2024 5:10,585
1/3/2024 5:15,578
1/3/2024 5:20,575
1/3/2024 5:25,576
1/3/2024 5:30,572
1/3/2024 5:35,575
1/3/2024 5:40,577
1/3/2024 5:45,579
1/3/2024 5:50,582
1/3/2024 5:55,583
1/3/2024 6:00,585
1/3/2024 6:05,580
1/3/2024 6:10,575
1/3/2024 6:15,572
1/3/2024 6:20,576
1/3/2024 6:25,571
1/3/2024 6:30,575
1/3/2024 6:35,578
1/3/2024 6:40,582
1/3/2024 6:45,572
1/3/2024 6:50,577
1/3/2024 6:55,569
1/3/2024 7:00,562
1/3/2024 7:05,564
1/3/2024 7:10,564
1/3/2024 7:15,569
1/3/2024 7:20,578
1/3/2024 7:25,577
1/3/2024 7:30,582
1/3/2024 7:35,592
1/3/2024 7:40,588
1/3/2024 7:45,587
1/3/2024 7:50,592
1/3/2024 7:55,605
1/3/2024 8:00,603
1/3/2024 8:05,607
1/3/2024 8:10,604
1/3/2024 8:15,602
1/3/2024 8:20,598
1/3/2024 8:25,597
1/3/2024 8:30,592
1/3/2024 8:35,602
1/3/2024 8:40,600
1/3/2024 8:45,605
1/3/2024 8:50,610
1/3/2024 8:55,611
1/3/2024 9:00,610
1/3/2024 9:05,601
1/3/2024 9:10,605
1/3/2024 9:15,608
1/3/2024 9:20,609
1/3/2024 9:25,610
1/3/2024 9:30,612
1/3/2024 9:35,616
1/3/2024 9:40,615
1/3/2024 9:45,605
1/3/2024 9:50,600
1/3/2024 9:55,598
1/3/2024 10:00,605
1/3/2024 10:05,594
1/3/2024 10:10,596
1/3/2024 10:15,600
1/3/2024 10:20,601
1/3/2024 10:25,603
1/3/2024 10:30,605
1/3/2024 10:35,601
1/3/2024 10:40,598
1/3/2024 10:45,605
1/3/2024 10:50,595
1/3/2024 10:55,593
1/3/2024 11:00,585
1/3/2024 11:05,577
1/3/2024 11:10,572
1/3/2024 11:15,582
1/3/2024 11:20,573
1/3/2024 11:25,578
1/3/2024 11:30,569
1/3/2024 11:35,571
1/3/2024 11:40,578
1/3/2024 11:45,575
1/3/2024 11:50,572
1/3/2024 11:55,568
1/3/2024 12:00,565
1/3/2024 12:05,563
1/3/2024 12:10,562
1/3/2024 12:15,568
1/3/2024 12:20,560
1/3/2024 12:25,562
1/3/2024 12:30,558
1/3/2024 12:35,550
1/3/2024 12:40,557
1/3/2024 12:45,552
1/3/2024 12:50,561
1/3/2024 12:55,557
1/3/2024 13:00,562
1/3/2024 13:05,557
1/3/2024 13:10,548
1/3/2024 13:15,557
1/3/2024 13:20,565
1/3/2024 13:25,568
1/3/2024 13:30,563
1/3/2024 13:35,565
1/3/2024 13:40,561
1/3/2024 13:45,567
1/3/2024 13:50,565
1/3/2024 13:55,561
1/3/2024 14:00,560
1/3/2024 14:05,556
1/3/2024 14:10,555
1/3/2024 14:15,555
1/3/2024 14:20,565
1/3/2024 14:25,575
1/3/2024 14:30,596
1/3/2024 14:35,632
1/3/2024 14:40,649
1/3/2024 14:45,653
1/3/2024 14:50,679
1/3/2024 14:55,683
1/3/2024 15:00,696
1/3/2024 15:05,702
1/3/2024 15:10,689
1/3/2024 15:15,685
1/3/2024 15:20,681
1/3/2024 15:25,678
1/3/2024 15:30,674
1/3/2024 15:35,662
1/3/2024 15:40,658
1/3/2024 15:45,655
1/3/2024 15:50,632
1/3/2024 15:55,612
1/3/2024 16:00,586
1/3/2024 16:05,575
1/3/2024 16:10,557
1/3/2024 16:15,556
1/3/2024 16:20,555
1/3/2024 16:25,560
1/3/2024 16:30,565
1/3/2024 16:35,563
1/3/2024 16:40,561
1/3/2024 16:45,570
1/3/2024 16:50,567
1/3/2024 16:55,570
1/3/2024 17:00,569
1/3/2024 17:05,565
1/3/2024 17:10,563
1/3/2024 17:15,562
1/3/2024 17:20,570
